TimeStamp,CPU Utilization,Memory Utilization,Package TDP,Max P-Core Frequency,Max E-Core Frequency,Active Core Count,Thermal Throttling,Package Temperature,Processor Cache Frequency,Power Limit Throttling,Current/EDP Limit Throttling,Motherboard VR Thermal Throttling,PMAX Throttling
2026-01-06_13-10-54-030,3.3552,10331,11.4275,5.6861,2.0238,8,0,47,1.2968,0,0,0,0
2026-01-06_13-10-55-038,16.2542,10329,11.7021,2.3366,1.3629,7,0,44,1.9951,0,0,0,0
2026-01-06_13-10-56-051,0,10503,9.8188,1.8954,1.318,11,0,45,3.7907,0,0,0,0
2026-01-06_13-10-57-069,100,10503,142.5549,4.9878,4.0439,24,0,85,4.489,1,0,0,0
2026-01-06_13-10-58-073,100,10503,252.9715,5.183,4.0269,24,1,93,4.2895,1,0,0,0
2026-01-06_13-10-59-073,100,10501,252.8727,5.1185,3.9816,24,1,95,3.8905,1,0,0,0
2026-01-06_13-11-00-079,100,10503,252.4698,4.9878,3.9902,24,1,98,4.489,1,1,0,0
2026-01-06_13-11-01-088,100,10501,252.3767,5.1314,4.0104,24,1,96,4.2895,1,0,0,0
2026-01-06_13-11-02-104,100,10503,253.4616,5.0876,3.9893,24,1,97,4.489,1,0,0,0
2026-01-06_13-11-03-120,100,10501,253.4616,5.0876,3.9893,24,1,97,4.489,1,0,0,0
2026-01-06_13-11-04-144,100,10500,253.3711,4.9878,3.9902,24,1,98,4.2895,1,1,0,0
2026-01-06_13-11-05-160,100,10504,252.6128,5.133,3.9979,24,1,95,4.489,1,0,0,0
2026-01-06_13-11-06-187,100,10504,253.3514,5.133,3.9979,24,1,95,4.1898,1,0,0,0
2026-01-06_13-11-07-196,100,10501,252.3144,4.9878,3.9902,24,1,91,4.489,1,0,0,0
2026-01-06_13-11-08-221,100,10500,252.7693,4.9878,4.0012,24,1,96,4.2895,1,0,0,0
2026-01-06_13-11-09-229,100,10490,253.2806,5.13,3.9819,24,1,97,4.2895,1,1,0,0
2026-01-06_13-11-10-257,100,10488,252.8857,5.1351,3.9929,24,1,94,4.3893,1,0,0,0
2026-01-06_13-11-11-272,100,10487,252.8093,5.1526,4.0299,24,1,94,4.3893,1,1,0,0
2026-01-06_13-11-12-283,100,10489,252.2296,5.1193,3.9796,24,1,97,4.489,1,1,0,0
