TimeStamp,CPU Utilization,Memory Utilization,Package TDP,Max P-Core Frequency,Max E-Core Frequency,Active Core Count,Thermal Throttling,Package Temperature,Processor Cache Frequency,Power Limit Throttling,Current/EDP Limit Throttling,Motherboard VR Thermal Throttling,PMAX Throttling
2026-01-07_16-29-33-662,2.3114,12068,10.4086,1.3966,2.3941,4,0,37,1.2968,0,0,0,0
2026-01-07_16-29-34-668,3.3359,12068,6.3946,2.1946,2.3941,2,0,37,1.7956,0,0,0,0
2026-01-07_16-29-35-678,3.2339,12069,8.5242,1.0973,2.3941,4,0,37,1.7956,0,0,0,0
2026-01-07_16-29-36-689,1.5032,12069,9.072,1.9022,2.4296,3,0,37,2.4939,0,0,0,0
2026-01-07_16-29-37-694,3.8212,12069,9.072,1.9022,2.4296,3,0,37,2.4939,0,0,0,0
2026-01-07_16-29-38-705,1.9806,12070,10.499,2.1281,2.4248,3,0,37,1.7956,0,0,0,0
2026-01-07_16-29-39-718,0.6625,12070,10.5398,2.5706,2.3941,5,0,37,1.7956,0,0,0,0
2026-01-07_16-29-40-725,2.3464,12070,6.4517,1.7956,2.3941,1,0,37,1.7956,0,0,0,0
2026-01-07_16-29-41-734,1.4909,12071,6.6555,3.7362,2.4395,3,0,38,1.7956,0,0,0,0
2026-01-07_16-29-42-748,1.0599,12071,7.8379,1.0973,2.3941,2,0,39,1.7956,0,0,0,0
2026-01-07_16-29-43-754,1.6849,12071,7.6076,0.798,2.3941,3,0,38,3.8905,0,0,0,0
2026-01-07_16-29-44-763,5.8128,12071,6.8406,1.6959,2.3941,3,0,37,0.8978,0,0,0,0
2026-01-07_16-29-45-769,5.4716,12070,6.8461,1.7956,2.3941,4,0,38,0.798,0,0,0,0
2026-01-07_16-29-46-775,3.618,12079,26.2558,2.6211,2.3941,6,0,37,4.9878,0,0,0,0
2026-01-07_16-29-47-785,7.1777,12072,55.401,5.1769,2.3941,6,0,56,4.5888,0,0,0,0
2026-01-07_16-29-48-795,4.806,12072,55.7718,5.7783,3.5398,8,0,57,4.5888,0,0,0,0
2026-01-07_16-29-49-802,5.7547,12072,55.7718,5.7783,3.5398,8,0,57,4.5888,0,0,0,0
2026-01-07_16-29-50-809,5.01,12071,58.1376,5.7858,2.4182,5,0,68,4.5888,0,0,0,0
2026-01-07_16-29-51-819,2.9297,12072,60.2407,5.7705,2.7859,6,0,56,4.489,0,0,0,0
2026-01-07_16-29-52-827,5.1253,12072,58.733,5.7858,2.3941,4,0,74,4.5888,0,0,0,0
2026-01-07_16-29-53-834,4.5681,12080,53.8122,5.7851,3.4509,6,0,54,4.5888,0,0,0,0
2026-01-07_16-29-54-843,4.8343,12077,61.0945,5.7659,2.6541,5,0,72,4.489,0,0,0,0
2026-01-07_16-29-55-850,3.5908,12074,58.7384,5.7441,3.0838,4,0,72,4.9878,0,0,0,0
2026-01-07_16-29-56-862,6.6046,12074,56.7667,5.7379,2.5921,4,0,60,4.9878,0,0,0,0
2026-01-07_16-29-57-867,4.2168,12071,59.2136,5.7483,3.4018,6,0,68,4.5888,0,0,0,0
2026-01-07_16-29-58-874,6.7428,12072,55.301,5.7695,2.8214,4,0,54,4.5888,0,0,0,0
2026-01-07_16-29-59-883,4.3556,12071,61.1505,5.7579,3.4893,5,0,71,4.9878,0,0,0,0
2026-01-07_16-30-00-891,5.4713,12073,65.7957,5.7611,2.3941,6,0,56,4.5888,0,0,0,0
2026-01-07_16-30-01-900,2.2478,12072,55.023,5.683,2.7995,4,0,62,4.489,0,0,0,0
2026-01-07_16-30-02-911,4.2471,12072,55.023,5.683,2.7995,4,0,62,4.489,0,0,0,0
