TimeStamp,CPU Utilization,Memory Utilization,Package TDP,Max P-Core Frequency,Max E-Core Frequency,Active Core Count,Thermal Throttling,Package Temperature,Processor Cache Frequency,Power Limit Throttling,Current/EDP Limit Throttling,Motherboard VR Thermal Throttling,PMAX Throttling
2026-01-07_15-57-46-685,4.3477,11869,7.1674,1.7512,2.3941,3,0,38,2.3941,0,0,0,0
2026-01-07_15-57-47-698,3.0559,11869,6.9722,1.0973,2.3941,3,0,37,1.7956,0,0,0,0
2026-01-07_15-57-48-705,6.0294,11868,6.7765,1.0973,2.3941,3,0,37,1.7956,0,0,0,0
2026-01-07_15-57-49-711,0,11870,8.7951,1.5961,2.3941,4,0,38,2.4939,0,0,0,0
2026-01-07_15-57-50-719,85.253,12016,8.7951,1.5961,2.3941,4,0,38,2.4939,0,0,0,0
2026-01-07_15-57-51-732,100,12015,272.753,3.6493,2.4278,3,0,38,4.489,0,0,0,0
2026-01-07_15-57-52-740,100,12015,289.5395,5.5835,4.2397,24,1,92,4.3893,0,1,0,0
2026-01-07_15-57-53-744,99.9514,12016,296.1707,5.3355,4.1144,24,1,95,3.8905,0,1,0,0
2026-01-07_15-57-54-750,100,12016,307.7569,5.2757,4.0864,24,1,95,4.489,0,1,0,0
2026-01-07_15-57-55-760,100,12016,279.922,5.2835,4.087,24,1,90,4.489,0,1,0,0
2026-01-07_15-57-56-765,100,12016,320.8983,5.1873,4.088,24,1,100,4.489,0,1,0,0
2026-01-07_15-57-57-777,100,12016,305.3819,5.0876,4.075,24,1,97,4.489,0,1,0,0
2026-01-07_15-57-58-781,100,12013,306.0112,5.0876,4.0872,24,1,100,4.489,0,1,0,0
2026-01-07_15-57-59-790,100,12011,288.627,5.0876,4.098,24,1,100,4.489,0,1,0,0
2026-01-07_15-58-00-798,100,12012,297.9193,5.1873,4.1046,24,1,98,4.489,0,1,0,0
2026-01-07_15-58-01-802,100,12010,279.0511,5.2871,4.1042,24,1,99,4.489,0,1,0,0
2026-01-07_15-58-02-810,100,12010,279.0511,5.2871,4.1042,24,1,99,4.489,0,1,0,0
2026-01-07_15-58-03-815,100,12010,287.6653,5.2873,4.0925,24,1,98,4.489,0,0,0,0
2026-01-07_15-58-04-822,100,12010,311.6249,4.9878,4.09,24,1,98,4.489,0,1,0,0
2026-01-07_15-58-05-829,100,12009,303.9102,4.6885,4.09,24,1,100,4.489,0,1,0,0
2026-01-07_15-58-06-838,100,12007,300.8983,4.9878,4.0839,24,1,100,4.489,0,1,0,0
2026-01-07_15-58-07-846,100,12005,291.9731,4.6885,3.9902,24,1,98,4.489,0,1,0,0
2026-01-07_15-58-08-852,100,12004,291.691,4.9878,4.0737,24,1,100,4.2895,0,1,0,0
2026-01-07_15-58-09-856,100,12005,300.5,5.1873,4.0785,24,1,98,4.3893,0,0,0,0
2026-01-07_15-58-10-863,100,12005,316.9146,5.0876,4.0707,24,1,100,4.3893,0,1,0,0
2026-01-07_15-58-11-869,100,12005,313.9842,5.0876,4.0648,24,1,100,4.489,0,1,0,0
2026-01-07_15-58-12-883,100,12005,277.1415,4.7883,3.9902,24,1,100,4.1898,0,1,0,0
2026-01-07_15-58-13-892,100,12005,277.1415,4.7883,3.9902,24,1,100,4.1898,0,1,0,0
2026-01-07_15-58-14-897,100,12004,277.605,4.9878,4.0519,24,1,98,4.489,0,1,0,0
2026-01-07_15-58-15-902,100,12004,290.5367,4.7883,3.9902,24,1,100,4.489,0,1,0,0
2026-01-07_15-58-16-906,100,12005,298.4822,4.6885,3.9902,24,1,100,4.489,0,1,0,0
2026-01-07_15-58-17-910,100,12005,279.0115,5.236,4.0835,24,1,97,4.489,0,1,0,0
2026-01-07_15-58-18-928,100,12005,295.097,4.9878,4.0513,24,1,98,4.2895,0,1,0,0
2026-01-07_15-58-19-927,100,12004,281.0037,5.2116,4.0554,24,1,97,4.489,0,0,0,0
2026-01-07_15-58-20-933,100,12003,303.3197,5.2055,4.0483,24,1,93,4.489,0,0,0,0
2026-01-07_15-58-21-938,100,12004,284.9951,5.2029,4.0461,24,1,100,4.2895,0,1,0,0
2026-01-07_15-58-22-952,100,12004,267.8446,4.888,4.0484,24,1,100,4.2895,0,1,0,0
2026-01-07_15-58-23-960,100,12006,287.6604,4.888,4.0407,24,1,100,4.489,0,0,0,0
2026-01-07_15-58-24-958,100,12005,273.5275,4.9878,4.0509,24,1,100,4.489,0,1,0,0
2026-01-07_15-58-25-965,100,12006,273.5275,4.9878,4.0509,24,1,100,4.489,0,1,0,0
2026-01-07_15-58-26-969,100,12005,260.6946,4.888,4.0607,24,1,100,4.3893,0,1,0,0
2026-01-07_15-58-27-993,100,12005,274.333,4.7883,3.9902,24,1,100,4.2895,0,1,0,0
2026-01-07_15-58-28-982,100,11988,299.3243,4.9878,4.0366,24,1,100,4.2895,0,0,0,0
2026-01-07_15-58-29-992,100,11963,267.5119,4.9878,4.0266,24,1,100,4.489,0,0,0,0
